Category,Item,Description,Qty,Unit Price,Ext. Price,Source,Order Link,Notes
Enclosure & Mounting,ENC-004,Cable Gland Assortment (PG9/PG13.5/PG16 20-pack),1,$18.99,$18.99,Amazon,https://www.amazon.com/s?k=cable+gland+assortment+IP68,Various cable entries
Enclosure & Mounting,VELCRO-LOCK,3M Dual Lock reclosable fastener (25mm x 1m),1,$12.00,$12.00,Amazon,https://www.amazon.com/s?k=3M+dual+lock+reclosable+fastener,Mount SSD / modem / PoE injector
Enclosure & Mounting,STANDOFFS,M2.5/M3 standoff kit (brass or nylon),1,$12.00,$12.00,Amazon,https://www.amazon.com/s?k=M2.5+M3+standoff+kit+brass,Pi stack mounting
Enclosure & Mounting,TERM-BLOCK,Screw terminal blocks (2-8 position assorted),1,$10.00,$10.00,Amazon,https://www.amazon.com/s?k=screw+terminal+block+assorted,Power distribution
Rain Gauge,RAIN-GAUGE,Hydreon RG-15 Optical Rain Gauge (solid-state RS232 TTL 3.3V + pulse output),1,$99.00,$99.00,Hydreon Store,https://store.hydreon.com/RG-15.html,No moving parts - self-cleaning lens - ±10% accuracy - built-in mounting holes - 12V powered
Cables & Connectors,USB-C-PWR,USB-C power cable (1.5m right-angle),1,$8.00,$8.00,Amazon,https://www.amazon.com/s?k=USB-C+power+cable+right+angle+1.5m,Pi 5 power from solar controller
Cables & Connectors,USB-A-SHORT,USB-A cables (0.5m various),3,$4.00,$12.00,Amazon,https://www.amazon.com/s?k=short+USB+cable+pack+0.5m,Modem / relay / short runs
Cables & Connectors,HDPE-CONDUIT,HDPE flexible conduit (20mm x 5m),1,$15.00,$15.00,Amazon,https://www.amazon.com/s?k=flexible+conduit+20mm,Cable protection (if not using Bulgin)
Cables & Connectors,HEAT-SHRINK,Heat shrink tubing kit (assorted sizes),1,$10.00,$10.00,Amazon,https://www.amazon.com/s?k=heat+shrink+tubing+kit+assorted,Cable sealing / strain relief
Cables & Connectors,CABLE-TIES,UV-resistant cable ties (assorted 100pc),1,$8.00,$8.00,Amazon,https://www.amazon.com/s?k=UV+resistant+cable+ties,Cable management
Cables & Connectors,WIRE-18AWG,18AWG stranded wire (red/black 10m each),1,$15.00,$15.00,Amazon,https://www.amazon.com/s?k=18AWG+stranded+wire+red+black,Power distribution
Cables & Connectors,FERRULES,Wire ferrules (assorted crimper kit),1,$18.00,$18.00,Amazon,https://www.amazon.com/s?k=wire+ferrule+crimper+kit,Professional terminal connections
Hardware & Fasteners,SS-SCREWS,Stainless steel screw assortment (M3 M4 M5),1,$15.00,$15.00,Amazon,https://www.amazon.com/s?k=stainless+steel+screw+assortment+M3+M4,304/316 grade for corrosion resistance
Hardware & Fasteners,SS-NUTS,Stainless steel nut assortment (M3 M4 M5),1,$10.00,$10.00,Amazon,https://www.amazon.com/s?k=stainless+steel+nut+assortment+nyloc,Nyloc and standard
Hardware & Fasteners,SS-WASHERS,Stainless steel washer assortment,1,$8.00,$8.00,Amazon,https://www.amazon.com/s?k=stainless+steel+washer+assortment,Flat and split lock
Hardware & Fasteners,POLE-CLAMP,Stainless U-bolt clamp (for pole mounting 60mm),2,$8.00,$16.00,Amazon,https://www.amazon.com/s?k=stainless+U-bolt+clamp+60mm,Camera housing mount
Hardware & Fasteners,SEALANT,Silicone sealant (outdoor clear),1,$6.00,$6.00,Amazon,https://www.amazon.com/s?k=silicone+sealant+electronics+clear,Cable gland sealing
Hardware & Fasteners,DI-GREASE,Dielectric grease (small tube),1,$8.00,$8.00,Amazon,https://www.amazon.com/s?k=dielectric+grease+tube,Connector protection
Hardware & Fasteners,DESICCANT,Silica gel packets (for initial assembly only),1,$6.00,$6.00,Amazon,https://www.amazon.com/s?k=silica+gel+packets,Not for field maintenance
,,,,,,,,
COST SUMMARY,,,,,,,,
Category,Subtotal,,,,,,,
Compute Platform,$319.95,,,,,,,
PoE Camera System,$399.96,,,,,,,
User Interface,$38.00,,,,,,,
Humidity Protection,$38.00,,,,,,,
Enclosure & Mounting,$124.99,,,,,,,
Rain Gauge,$99.00,,,,,,,
Cables & Connectors,$86.00,,,,,,,
Hardware & Fasteners,$69.00,,,,,,,
TOTAL (Materials),$1174.90,,,,,,,
