Category,Item,Description,Qty,Unit Price,Extended,Source,Order Link,Site Compatibility
Jakarta-Specific,IP68 RJ45 coupler,Waterproof feedthrough,2,$6.50,$13.00,Amazon,https://www.amazon.com/s?k=IP68+RJ45+coupler+waterproof,Jakarta
Jakarta-Specific,RJ45 connectors + boots,For cable repairs,10,$0.50,$5.00,Amazon,https://www.amazon.com/s?k=RJ45+connectors+boots+shielded,Jakarta
Jakarta-Specific,Planet IPOE-260-12V,PoE injector spare,1,$164.00,$164.00,Planet Tech,https://planetechusa.com/product/ipoe-260-12v-industrial-2-port-10-100-1000t-802-3at-poe-injector-hub-12v-booster/,Jakarta
Jakarta-Specific,Mean Well SDR-120-12,AC-DC PSU spare,1,$59.84,$59.84,DigiKey,https://www.digikey.com/en/products/detail/mean-well-usa-inc/SDR-120-12/7706555,Jakarta
Jakarta-Specific,Phoenix Contact SPD,Surge protector spare,1,$78.15,$78.15,DigiKey,https://www.digikey.com/en/products/detail/phoenix-contact/2905418/3884829,Jakarta
Jakarta-Specific,PTC Heater 10W,Camera heater spare,1,$14.99,$14.99,Amazon,https://www.amazon.com/s?k=PTC+heater+12V+10W+thermostat,Jakarta
Jakarta-Specific,PTC Heater 15W,Enclosure heater spare,1,$19.99,$19.99,Amazon,https://www.amazon.com/s?k=PTC+heater+12V+15W,Jakarta
Tools,Screwdriver set,Phillips #0 #1 #2 + flathead,1,$15.00,$15.00,Amazon,https://www.amazon.com/s?k=precision+screwdriver+set+phillips,N/A
Tools,Adjustable wrench 6in,For cable glands clamps,1,$12.00,$12.00,Amazon,https://www.amazon.com/s?k=adjustable+wrench+6+inch,N/A
Tools,Wire strippers,18-22 AWG,1,$15.00,$15.00,Amazon,https://www.amazon.com/s?k=wire+strippers+18-22+AWG,N/A
Tools,Multimeter,DC voltage continuity,1,$35.00,$35.00,Amazon,https://www.amazon.com/s?k=digital+multimeter+auto+ranging,N/A
Tools,Ethernet cable tester,RJ45 continuity,1,$18.00,$18.00,Amazon,https://www.amazon.com/s?k=ethernet+cable+tester+RJ45,N/A
Tools,USB cable tester,Basic continuity,1,$12.00,$12.00,Amazon,https://www.amazon.com/s?k=USB+cable+tester,N/A
Tools,RJ45 crimp tool,With cable stripper,1,$25.00,$25.00,Amazon,https://www.amazon.com/s?k=RJ45+crimp+tool+pass+through,N/A
Tools,Headlamp,LED rechargeable,1,$15.00,$15.00,Amazon,https://www.amazon.com/s?k=rechargeable+LED+headlamp,N/A
Tools,Allen key set,Metric,1,$10.00,$10.00,Amazon,https://www.amazon.com/s?k=metric+allen+key+set,N/A
Consumables,SIM cards (Telkomsel),Pre-activated data plan,2,$10.00,$20.00,Local (Indonesia),Purchase in Indonesia,Both
Consumables,MG 422C conformal coat,55mL bottle,1,$18.99,$18.99,Amazon,https://www.amazon.com/MG-Chemicals-Silicone-Conformal-Coating/dp/B085G42TGS,Both
Consumables,Masking tape,Kapton 1/4in,1,$9.99,$9.99,Amazon,https://www.amazon.com/s?k=kapton+tape+1%2F4+inch,Both
Consumables,Cable ties (UV-resistant),Assorted 500pc,1,$12.99,$12.99,Amazon,https://www.amazon.com/s?k=UV+resistant+cable+ties+500,Both
Consumables,Heat shrink tubing,Assorted kit,1,$11.99,$11.99,Amazon,https://www.amazon.com/s?k=heat+shrink+tubing+kit+assorted,Both
Consumables,IPA wipes (99%),Electronics cleaning,1,$8.99,$8.99,Amazon,https://www.amazon.com/s?k=isopropyl+alcohol+99,Both
Consumables,Microfiber cloths,Lens cleaning,5,$1.00,$5.00,Local,Purchase locally,Both
Consumables,Silicone sealant,RTV electronics-grade,1,$7.99,$7.99,Amazon,https://www.amazon.com/s?k=silicone+sealant+electronics+RTV,Both
Consumables,Dielectric grease,Small tube,1,$8.00,$8.00,Amazon,https://www.amazon.com/s?k=dielectric+grease+tube,Both
Consumables,SS hardware kit,M2.5 M3 M4 assorted,1,$16.99,$16.99,Amazon,https://www.amazon.com/s?k=stainless+steel+hardware+kit+M3+M4,Both
Consumables,Velcro/Dual-Lock,25mm x 1m,1,$12.00,$12.00,Amazon,https://www.amazon.com/s?k=3M+dual+lock+reclosable+fastener,Both
Consumables,Electrical tape,2 rolls,2,$3.00,$6.00,Local,Purchase locally,Both
,,,,,,,,,
COST SUMMARY,,,,,,,,,
Category,Subtotal,,,,,,,,
Common Spares,$497.02,,,,,,,,
Sukabumi-Specific,$391.00,,,,,,,,
Jakarta-Specific,$441.63,,,,,,,,
Tools,$157.00,,,,,,,,
Consumables,$132.94,,,,,,,,
GRAND TOTAL,$1619.59,,,,,,,,
,,,,,,,,,
MINIMUM VIABLE SPARES (Budget Option),,,,,,,,
Category,Item,Qty,Price,Order Link,Rationale,,,
Critical Spares,MicroSD cards (pre-imaged),2,$29.90,https://www.adafruit.com/product/6010,Most common failure point,,,
Critical Spares,LTE antennas,2,$16.99,https://www.amazon.com/Antenna-Connector-Omnidirectional-Verizon-Wireless/dp/B07YWHFQ6L,Easy to damage cheap,,,
Critical Spares,Inline fuses + holders,5,$13.00,https://www.amazon.com/s?k=inline+fuse+holder+waterproof+blade,Electrical protection,,,
Critical Spares,Cable glands (assorted),8,$15.40,https://www.amazon.com/s?k=cable+gland+assortment+IP68,Seal integrity,,,
Critical Spares,Amphenol M12 vents,2,$24.00,https://www.digikey.com/en/products/detail/amphenol-ltw/VENT-PS1YBK-N8001/7898285,Pressure equalization,,,
Critical Spares,USB cable (Sukabumi),1,$45.00,https://www.digikey.com/en/products/filter/usb-cables/457,Camera connection,,,
Critical Spares,Cat6 cable 30m (Jakarta),1,$26.66,https://www.amazon.com/s?k=outdoor+Cat6+shielded+cable+100ft+UV,Camera connection,,,
Critical Spares,RJ45 connectors,10,$5.00,https://www.amazon.com/s?k=RJ45+connectors+boots+shielded,Cable repairs,,,
Critical Spares,IP68 RJ45 couplers,2,$13.00,https://www.amazon.com/s?k=IP68+RJ45+coupler+waterproof,Quick fixes,,,
Critical Spares,Conformal coating,1,$18.99,https://www.amazon.com/MG-Chemicals-Silicone-Conformal-Coating/dp/B085G42TGS,Board protection,,,
Critical Spares,Cable ties,1,$12.99,https://www.amazon.com/s?k=UV+resistant+cable+ties+500,General use,,,
Critical Spares,IPA wipes,1,$8.99,https://www.amazon.com/s?k=isopropyl+alcohol+99,Cleaning,,,
Critical Spares,Silicone sealant,1,$7.99,https://www.amazon.com/s?k=silicone+sealant+electronics+RTV,Sealing,,,
Critical Spares,Dielectric grease,1,$8.00,https://www.amazon.com/s?k=dielectric+grease+tube,Connector protection,,,
Critical Spares,SIM cards,2,$20.00,Purchase in Indonesia,Modem replacement,,,
Critical Spares Subtotal,,$265.91,,,,,
Essential Tools,Screwdriver set,1,$15.00,https://www.amazon.com/s?k=precision+screwdriver+set+phillips,Basic maintenance,,,
Essential Tools,Multimeter,1,$35.00,https://www.amazon.com/s?k=digital+multimeter+auto+ranging,Diagnostics,,,
Essential Tools,Wire strippers,1,$15.00,https://www.amazon.com/s?k=wire+strippers+18-22+AWG,Cable work,,,
Essential Tools,Adjustable wrench,1,$12.00,https://www.amazon.com/s?k=adjustable+wrench+6+inch,Cable glands,,,
Essential Tools,Headlamp,1,$15.00,https://www.amazon.com/s?k=rechargeable+LED+headlamp,Enclosure work,,,
Essential Tools Subtotal,,$92.00,,,,,
Minimum Viable Total,,$357.91,,,,,
